table_num,TABLE_NAME,category_num,year,Units,value_added,imports,total,CATEGORY_DESC
4,Food and beverage dollar,14,6/15/05,Cents per Domestic Real Food Dollar,0,0,106.4,Total food dollar
4,Food and beverage dollar,15,6/15/05,Cents per Domestic Real Food Dollar,0,0,100,Domestic food dollar
4,Food and beverage dollar,16,6/15/05,Cents per Domestic Real Food Dollar,0,0,15.8,Farm share
5,Home food and beverage dollar,1,6/15/05,Cents per Domestic Real Food Dollar,91.2,4.2,96.7,Total
5,Home food and beverage dollar,2,6/15/05,Cents per Domestic Real Food Dollar,3.3,0.4,3.6,Agribusiness
5,Home food and beverage dollar,3,6/15/05,Cents per Domestic Real Food Dollar,10.3,0.8,11.2,Farm production
5,Home food and beverage dollar,4,6/15/05,Cents per Domestic Real Food Dollar,25.8,1.3,27,Food processing
5,Home food and beverage dollar,5,6/15/05,Cents per Domestic Real Food Dollar,4.5,0.9,5.5,Packaging
5,Home food and beverage dollar,6,6/15/05,Cents per Domestic Real Food Dollar,4.2,0.2,4.4,Transportation
5,Home food and beverage dollar,7,6/15/05,Cents per Domestic Real Food Dollar,16.6,-0.2,16.4,Wholesale trade
5,Home food and beverage dollar,8,6/15/05,Cents per Domestic Real Food Dollar,25.5,0.3,25.9,Retail trade
5,Home food and beverage dollar,9,6/15/05,Cents per Domestic Real Food Dollar,0.1,0,0.1,Foodservices
5,Home food and beverage dollar,10,6/15/05,Cents per Domestic Real Food Dollar,2,0.3,2.2,Energy
5,Home food and beverage dollar,11,6/15/05,Cents per Domestic Real Food Dollar,3.8,0.1,3.9,Finance & Insurance
5,Home food and beverage dollar,12,6/15/05,Cents per Domestic Real Food Dollar,2.6,0.1,2.7,Advertising
5,Home food and beverage dollar,13,6/15/05,Cents per Domestic Real Food Dollar,0.9,0,0.9,Legal & accounting
5,Home food and beverage dollar,14,6/15/05,Cents per Domestic Real Food Dollar,0,0,105.6,Total food dollar
5,Home food and beverage dollar,15,6/15/05,Cents per Domestic Real Food Dollar,0,0,100,Domestic food dollar
5,Home food and beverage dollar,16,6/15/05,Cents per Domestic Real Food Dollar,0,0,19.5,Farm share
6,Away food and beverage dollar,1,6/15/05,Cents per Domestic Real Food Dollar,88.5,2.9,92.7,Total
6,Away food and beverage dollar,2,6/15/05,Cents per Domestic Real Food Dollar,1.7,0.2,2,Agribusiness
6,Away food and beverage dollar,3,6/15/05,Cents per Domestic Real Food Dollar,5.5,0.6,6.1,Farm production
6,Away food and beverage dollar,4,6/15/05,Cents per Domestic Real Food Dollar,10.1,0.5,10.6,Food processing
6,Away food and beverage dollar,5,6/15/05,Cents per Domestic Real Food Dollar,2.8,0.6,3.4,Packaging
6,Away food and beverage dollar,6,6/15/05,Cents per Domestic Real Food Dollar,2.2,0.1,2.3,Transportation
6,Away food and beverage dollar,7,6/15/05,Cents per Domestic Real Food Dollar,8.6,-0.1,8.4,Wholesale trade
6,Away food and beverage dollar,8,6/15/05,Cents per Domestic Real Food Dollar,0.3,0,0.3,Retail trade
6,Away food and beverage dollar,9,6/15/05,Cents per Domestic Real Food Dollar,53.6,0.6,52.4,Foodservices
6,Away food and beverage dollar,10,6/15/05,Cents per Domestic Real Food Dollar,2.1,0.2,2.3,Energy
6,Away food and beverage dollar,11,6/15/05,Cents per Domestic Real Food Dollar,3.2,0.1,3.3,Finance & Insurance
6,Away food and beverage dollar,12,6/15/05,Cents per Domestic Real Food Dollar,2.5,0.1,2.5,Advertising
6,Away food and beverage dollar,13,6/15/05,Cents per Domestic Real Food Dollar,0.8,0,0.8,Legal & accounting
6,Away food and beverage dollar,14,6/15/05,Cents per Domestic Real Food Dollar,0,0,107.6,Total food dollar
6,Away food and beverage dollar,15,6/15/05,Cents per Domestic Real Food Dollar,0,0,100,Domestic food dollar
6,Away food and beverage dollar,16,6/15/05,Cents per Domestic Real Food Dollar,0,0,10.9,Farm share
