YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,150649,FLORIO MARSALA SWEET - 750ML,WINE,0.08,0.00,0.00
2017,6,MONSIEUR TOUTON SELECTION,150673,UGARTE REINARES TINTO RED - 750ML,WINE,0.00,0.00,1.00
2017,6,TREASURY WINE ESTATES AMERICAS COMPANY,15091,BV NAPA VLY MERLOT - 750ML,WINE,4.28,0.00,0.00
2017,6,DIAGEO NORTH AMERICA INC,15105,TALISKER 10YR - 750ML,LIQUOR,13.18,12.00,0.00
2017,6,MONSIEUR TOUTON SELECTION,151122,LAN RIOJA RES - 750ML,WINE,0.00,0.00,2.00
2017,6,DIAGEO NORTH AMERICA INC,15130,GLENKINCHIE 12YR SCOTCH - 750ML,LIQUOR,3.45,0.00,0.00
2017,6,ROYAL WINE CORP,15148,CARMEL CONCORD KING DAVID - 750ML,WINE,0.74,0.00,0.00
2017,6,DIAGEO NORTH AMERICA INC,15156,DALWHINNIE 15YR SCOTCH - 750ML,LIQUOR,12.41,6.00,0.00
2017,6,DIAGEO NORTH AMERICA INC,15164,CRAGGANAMORE SCOTCH 12YR - 750ML,LIQUOR,6.06,1.00,0.00
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,151769,KING EST P/GRIS - 375ML,WINE,0.41,1.00,3.00
2017,6,PROXIMO SPIRITS INC,152315,JOSE CUERVO GOLD TEQUILA - 200ML,LIQUOR,3.44,1.00,0.00
2017,6,ANHEUSER BUSCH INC,48928,BUD 15/22OZ NR,BEER,0.00,0.00,80.00
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,15253,ALICE WHITE LEXIA - 750ML,WINE,0.33,0.00,0.00
2017,6,A VINTNERS SELECTIONS,152579,LA CARRAIA UMBRIA SANG - 750ML,WINE,0.00,0.00,1.00
2017,6,A VINTNERS SELECTIONS,152609,SEGHESIO SONOMA CTY ZIN 12/CS - 375ML,WINE,0.08,0.00,0.00
2017,6,JIM BEAM BRANDS CO,15261,BAKER'S BOURBON 107 PROOF - 750ML,LIQUOR,12.88,12.00,0.00
2017,6,JIM BEAM BRANDS CO,15270,BASIL HAYDEN BOURBON 6/C - 750ML,LIQUOR,144.01,112.83,4.00
2017,6,JIM BEAM BRANDS CO,15288,KNOB CREEK BOURBON 9YR - 100P - 750ML,LIQUOR,106.10,100.00,11.00
2017,6,ROYAL WINE CORP,15296,KEDEM NY CREAM WHITE NIAGARA - 750ML,WINE,0.08,0.00,0.00
2017,6,ROYAL WINE CORP,153036,CARMEL CONCORD KING DAVID - 750ML,WINE,0.57,0.00,1.00
2017,6,SOUTHERN GLAZERS WINE AND SPIRITS,153125,BULLY HILL SWEET WALTER RED - 750ML,WINE,11.20,13.00,8.00
2017,6,DIONYSOS IMPORTS INC,153150,DON RAMON PEREZ JUAN - 750ML,WINE,1.41,1.00,0.00
2017,6,DIAGEO NORTH AMERICA INC,15318,CROWN ROYAL - 375ML,LIQUOR,5.49,0.00,0.00
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,15334,LOUIS ROEDERER BRUT PREM 6/CS - 750ML,WINE,1.52,0.00,0.00
2017,6,RELIABLE CHURCHILL LLLP,15342,BELVEDERE VODKA 12/C - 375ML,LIQUOR,4.18,5.00,0.00
2017,6,A VINTNERS SELECTIONS,153494,BETHEL HEIGHTS EST P/NOIR - 750ML,WINE,0.16,0.00,1.00
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,153516,FAUSTINO I GRAN RES - 750ML,WINE,0.00,0.00,1.00
2017,6,PERNOD RICARD USA LLC,153540,PASSPORT SCOTCH - 750ML,LIQUOR,0.40,0.00,0.00
2017,6,SAZERAC CO,15385,CARAVELLA LIMONCELLO - 750ML,LIQUOR,40.94,43.00,0.00
2017,6,A VINTNERS SELECTIONS,153931,BETHEL HEIGHTS CASTEEL RS P/NR - 750ML,WINE,0.00,0.00,1.00
2017,6,AREL GROUP WINE & SPIRITS,154008,CANDONI P/GRIG - 1.5L,WINE,0.00,0.00,1.00
2017,6,AREL GROUP WINE & SPIRITS,154016,CANDONI MER - 1.5L,WINE,0.00,0.00,1.00
2017,6,BANFI PRODUCTS CORP,15407,BANFI ROSA REGALE BRACHETTO - 750ML,WINE,12.28,7.00,5.00
